"Starfsemi","ÍSAT2008"
"Ljósagler, framleiðsla","23120"
"Ljósagler, slípun","23120"
"Ljósakrónur, rafmagn, framleiðsla","27400"
"Ljósamenn","90020"
"Ljósaperur, framleiðsla","27400"
"Ljósaskilti, framleiðsla","27400"
"Ljósaverslun","47592"
"Ljósleiðarakaplar, framleiðsla","27310"
"Ljósmyndabúnaður og sjóntæki, heildsala","46430"
"Ljósmyndabúnaður, framleiðsla","26700"
"Ljósmyndafilmur, framleiðsla","20590"
"Ljósmyndafilmur, heildsala","46430"
"Ljósmyndafilmur, smásala","47782"
"Ljósmyndagerð, efni, framleiðsla","20590"
"Ljósmyndaklefar, rekstur","96090"
"Ljósmyndaklúbbar","94999"
"Ljósmyndapappír, framleiðsla","20590"
"Ljósmyndaplötur, framleiðsla","20590"
"Ljósmyndarar","74200"
"Ljósmyndaskólar","85520"
"Ljósmyndastarfsemi","74200"
"Ljósmyndavélar, smásala","47782"
"Ljósmyndavélar, viðgerðir","95290"
"Ljósmyndavörur, heildsala","46430"
"Ljósmyndavöruverslanir","47782"
"Ljósmyndaþjónusta","74200"
"Ljósmyndun úr lofti","74200"
"Ljósmæður, sjálfstætt starfandi","86909"
"Ljósritun","82190"
"Ljósritunarvélar, framleiðsla","28230"
"Ljósritunarvélar, heildsala","46660"
"Ljósritunarvélar, heildverslun","46660"
"Ljósritunarvélar, umboðsverslun","46140"
"Ljósritunarvélar, viðgerð","33120"
"Ljósritunarþjónusta","82190"
"Ljóssetning","18130"
"Loðband, spuni","13100"
"Loðdýr, ræktun","01491"
"Loðdýrafóður, framleiðsla","10910"
"Loðna, frysting","10201"
"Loðnubræðslur","10203"
"Loðnuhrogn, frysting","10201"
"Loðnuskip, útgerð","03112"
"Loðskinn, sútun og litun","15110"
"Loðskinnsfatnaður, framleiðsla","14200"
"Loðskinnsfatnaður, heildsala","46420"
"Loðskinnsfatnaður, smásala","47711"
"Loðskinnsvörur, framleiðsla","14200"
"Loðskinnsvörur, hattar og húfur, framleiðsla","14190"
"Loðskinnsvörur, heildsala","46420"
"Loðskinnsvörur, smásala","47711"
"Loðskinnsvörur, umboðsverslun","46160"
"Lofstskip, framleiðsla","30300"
"Loftbelgir, framleiðsla","30300"
"Loftför, leiga án áhafnar","77350"
"Loftför, umboðsverslun","46140"
"Loftför, viðgerð og viðhald","33160"
"Loftklæðning, plast, framleiðsla","22230"
"Loftklæðning, plast, heildsala","46730"
"Loftnet, framleiðsla","26300"
"Loftnet, heildsala","46430"
"Loftnet, smásala","47430"
"Loftnet, uppsetning","43210"
"Loftnet, viðgerðir","95120"
"Loftpressur, framleiðsla","28130"
"Loftpumpur, framleiðsla","28130"
"Loftpúðar, framleiðsla","29320"
"Loftræstibúnaður, uppsetning og viðgerð","43220"
"Loftræstikerfi til iðnaðarnota, framleiðsla","28250"
"Loftræstitæki til heimilisnota, framleiðsla","27510"
"Lofttæmisdælur, framleiðsla","28130"
"Loftþrýstimælar, framleiðsla","26510"
"Logsuða","25620"
"Lok á fiskiker úr plasti, framleiðsla","22221"
"Lokar til iðnaðarnota, framleiðsla","28140"
"Lottó","92000"
"Lóða- og bygggingarumsýsla","41100"
"Lóðboltar, handstýrðir, framleiðsla","27900"
"Lugt, reiðhjól, framleiðsla","27400"
"Lugt, vélhjól, framleiðsla","27400"
"Lyf, framleiðsla","21200"
"Lyf, heildsala","46460"
"Lyf, smásala","47730"
"Lyfjagerð, hráefni, framleiðsla","21100"
"Lyfjarannsóknir","72190"
"Lyfjaverslun","47730"
"Lyfjavörur úr gleri, framleiðsla","23190"
"Lyfjavörur, heildsala","46460"
"Lyftibúnaður, framleiðsla","28220"
"Lyftur, framleiðsla","28220"
"Lyftur, uppsetning og viðgerð","43290"
"Lyklaborð, framleiðsla","26200"
"Lyklaborð, heildsala","46510"
"Lyklaborð, smásala","47410"
"Lyklar, framleiðsla","25720"
"Lyklasmíði","25720"
"Lyktarefni, heildsala","46750"
"Lykteyðandi efni, framleiðsla","20410"
"Lýsi, hreinsað, framleiðsla","10410"
"Læknar, heilsugæslu- og heimilislæknar","86210"
"Læknar, sérfræðingar","86220"
"Lækningatæki, framleiðsla","32500"
"Lækningavörur, heildsala","46460"
"Lækningavörur, smásala","47740"
"Lögfræðiaðstoð","69100"
"Lögfræðistarfsemi","69100"
"Lögfræðiþjónusta","69100"
"Löggæsla","84240"
"Lögreglurannsóknarstofur, rekstur","71200"
"Lögregluskólar","85320"
"Lökkun málma","25610"
"Löndunarþjónusta","52240"
"Magnarar, framleiðsla","26400"
"Maís, ræktun","01110"
"Maísolía, framleiðsla","10620"
"Majónsósa, framleiðsla","10840"
"Majónsósa, heildsala","46389"
"Makkarónur, framleiðsla","10730"
"Makkarónur, heildsala","46389"
"Malarnám","08120"
"Malbik, framleiðsla","23990"
"Malbikun","42110"
"Malbikunarverksmiðjur","23990"
"Malbikunarvélar, framleiðsla","28920"
"Malt, framleiðsla","11060"
"Maltsykur, framleiðsla","10620"
"Mangan, framleiðsla","24450"
"Mangan, frumvinnsla","24450"
"Mangan, nám","07290"
"Mannvirkjagerð, verkfræðiráðgjöf","71121"
"Marhálmur, söfnun","02300"
"Markaðsetning","73110"
"Markaðsrannsóknir","73200"
"Markaðsráðgjöf","73110"
"Markissur, framleiðsla","13920"
"Markissur, heildsala","46410"
"Markissur, smásala","47510"
"Marmari, nám","08110"
"Matarfeiti, framleiðsla","10420"
"Matarolía, framleiðsla","10410"
"Matarolía, heildsala","46330"
"Matsölustaðir","56100"
"Matur, tilbúinn, framleiðsla","10850"
"Matur, tilbúinn, heildsala","46389"
"Matvara, umboðsverslun","46179"
"Matvælaeftirlit","71200"
"Matvælarannsóknir","71200"
"Matvæli og drykkjarvörur, blönduð heildverslun","46390"
"Matvörur smásala úr söluvögnum og á mörkuðum","47810"
"Málaraléreft, framleiðsla","13990"
"Málarapenslar, framleiðsla","32910"
"Málarapenslar, heildsala","46730"
"Málarar","43341"
"Málararúllur, framleiðsla","32910"
"Málararúllur, heildsala","46730"
"Málband, framleiðsla","28290"
"Málmaleit","71122"
"Málmar, heildsala","46720"
"Málmar, umboðsverslun","46120"
"Málmgrýti, heildsala","46720"
"Málmgrýti, umboðsverslun","46120"
"Málmhúðun","25610"
"Málmhúsgögn, heildsala","46470"
"Málmkaplar, framleiðsla","25930"
"Málmlok, framleiðsla","25920"
"Málmsmíðaviðgerðir","33110"
"Málmsteypa úr góðmálmum","24540"
"Málmsteypa úr léttmálmum","24530"
"Málmsteypa úr þungmálmum","24540"
"Málmstigar, framleiðsla","25990"
"Málmúrgangur, tæting","38320"
"Málmvinnsla","25620"
"Málmvinnsla, vélar fyrir, framleiðsla","28410"
"Málmvörur, viðgerð","33110"
"Málning, framleiðsla","20300"
"Málning, heildsala","46730"
"Málning, smásala","47522"
"Málningarpenslar, framleiðsla","32910"
"Málningarvinna","43341"
"Málningarvörur, heildsala","46730"
"Málningavöruverslanir","47522"
"Meðalalýsi, framleiðsla","10410"
"Meðferðaheimili fyrir fíkla","87200"
"Meðferðardeildir","86220"
"Megrunarfæði, framleiðsla","10860"
"Megrunarfæði, heildsala","46389"
"Meinatæknar, sjálfstætt starfandi","86909"
"Meindýraeyðing","81290"
"Meindýraeyðing í skógum","02400"
"Meindýraeyðing, landbúnaður","01610"
"Melassi, framleiðsla","10810"
"Melónur, ræktun","01131"
"Mengunarvarnir","39000"
"Menningarfélög","94999"
"Menningarhús, rekstur","90040"
"Menningarmiðstöðvar","90040"
"Menntaskólar","85310"
"Merkimiðar úr pappír, framleiðsla","17290"
"Merkimiðar úr pappír, heildsala","46490"
"Merkimiðar úr textíl, framleiðsla","13990"
"Merkjabúnaður, rafknúinn, framleiðsla","27900"
"Merkjabúnaður, vélknúinn, framleiðsla","30200"
"Miðasala","79900"
"Miðasjálfsalar, framleiðsla","28230"
"Miðasjálfsalar, heildsala","46699"
"Miðlar","96090"
"Miðstöðvarkatlar, framleiðsla","25210"
"Miðstöðvarofnar, framleiðsla","25210"
"Miðstöðvarofnar, viðgerð","33110"
"Millilanda- og strandsiglingar, farþegaflutningar","50100"
"Millilanda- og strandsiglingar, vöruflutningar","50200"
"Milliveggir úr málmi, framleiðsla","25120"
"Minjagripaverslanir","47789"
"Minjagripir úr steini, framleiðsla","23700"
"Minjagripir, heildsala","46490"
"Minjasöfn","91020"
"Minkur, ræktun","01491"
"Minningarsjóðir ótengdir félagsþjónustu","94999"
"Minningarsjóðir sem tengjast félagsþjónustu","88990"
"Minnjagripaverslanir","47789"
"Mjaltavélar, framleiðsla","28300"
"Mjaltavélar, heildsala","46610"
"Mjólkurafurðir, heildsala","46330"
"Mjólkurbú","10510"
"Mjólkurdrykkir, framleiðsla","10510"
"Mjólkuriðnaður, vélar fyrir, framleiðsla","28930"
"Mjólkuriðnaður, vélar fyrir, heildsala","46699"
"Mjólkurkýr, eldi","01410"
"Mjólkursykur (laktósi), framleiðsla","10510"
"Mjólkurvörur, framleiðsla","10510"
"Mjólkurvörur, heildsala","46330"
"Mjöl- og lýsisvinnsla","10203"
"Mjöl, framleiðsla","10610"
"Mjölvavörur, framleiðsla","10620"
"Mjölvi, framleiðsla","10620"
"Morgunkorn, framleiðsla","10610"
"Morgunkorn, heildsala","46389"
"Morgunsloppar, framleiðsla","14140"
"Mottur úr fléttiefnum, framleiðsla","16290"
"Mottur úr stungnum flóka, framleiðsla","13930"
"Mottur úr textíl, framleiðsla","13930"
"Mottur, heildsala","46470"
"Módel, leikföng, framleiðsla","32400"
"Mór, framleiðsla","23990"
"Mósaíkflísar, framleiðsla","23310"
"Mósaíkflísar, heildsala","46730"
"Mótakassar, framleiðsla","25730"
"Mótekja","08920"
"Mótöld, framleiðsla","26300"
"Móvörur, framleiðsla","23990"
"Mulningsvélar, framleiðsla","28920"
"Munntóbak, framleiðsla","12000"
"Munnþurrkur úr pappír, framleiðsla","17220"
"Múrarar","43310"
"Múrhúðun","43310"
"Múrsteinar úr steinsteypu, framleiðsla","23610"
"Múrsteinar, ekki eldfastir úr leir, framleiðsla","23320"
"Múrsteinar, eldfastir, framleiðsla","23200"
"Múrsteinar, framleiðsla","23320"
"Myndavélar, framleiðsla","26700"
"Myndavélar, heildsala","46430"
"Myndavélar, smásala","47782"
"Myndbandaleiga","77220"
"Myndbandstæki, framleiðsla","26400"
"Myndbandstæki, heildsala","46430"
"Myndbandstæki, smásala","47430"
"Myndbandstökuvélar, framleiðsla","26400"
"Myndbandstökuvélar, heildsala","46430"
"Myndbandstökuvélar, smásala","47430"
"Myndbönd, átekin, heildsala","46430"
"Myndbönd, dreifing","59130"
"Myndbönd, fjölföldun","18200"
"Myndbönd, óátekin, framleiðsla","26800"
"Myndbönd, óátekin, heildsala","46520"
"Myndbönd, smásala","47630"
"Mynddiskar (dvd), áteknir, heildsala","46430"
"Mynddiskar (dvd), fjölföldun","18200"
"Mynddiskar (dvd), óáteknir, framleiðsla","26800"
"Mynddiskar (dvd), óáteknir, heildsala","46520"
"Mynddiskar (dvd), smásala","47630"
"Mynddiskar (DVD), upptökutæki, smásala","47430"
"Mynddiskar (dvd), útleiga","77220"
"Mynddiskar, upptökutæki, framleiðsla","26400"
"Mynddiskar, upptökutæki, heildsala","46430"
"Myndefni, fjölföldun","18200"
"Myndhöggvarar","90030"
"Myndvarpar, framleiðsla","26700"
"Mynt, framleiðsla","32110"
"Mynt, smásala","47789"
"Myntflokkunarvélar, framleiðsla","28230"
"Myntslátta","32110"
"Mysa, framleiðsla","10510"
"Mýkingarefni í þvott, framleiðsla","20410"
"Mæðravernd","86210"
"Mælingar vegna bygginga og mannvirkja","71122"
"Mælitæki, framleiðsla","26510"
"Mælitæki, heildsala","46699"
"Möl, heildsala","46730"
"Möl, nám","08120"
"Möppur úr plasti, framleiðsla","22290"
"Möppur, framleiðsla","17230"
"Möppur, heildsala","46490"
"Möppur, smásala","47620"
"Mörframleiðsla","10110"
"Möstur, framleiðsla","25110"
"Mötuneyti","56290"
"Nagalbyssur, framleiðsla","28240"
"Nagdýraeyðir, framleiðsla","20200"
"Naglalakk, framleiðsla","20420"
"Naglar, framleiðsla","25930"
"Naglar, heildsala","46740"
"Nasl (þó ekki úr kartöflum), framleiðsla","10720"
"Natrínlútur, framleiðsla","20130"
"Nauðungaruppboð","69100"
"Nautgriparækt, mjólkurkýr","01410"
"Nautgriparækt, önnur","01420"
"Nautgripir, slátrun","10110"
"Nálar til lækninga, heildsala","46460"
"Nálar til lækninganota, framleiðsla","32500"
"Nálar, framleiðsla","25930"
"Nálastunga","86909"
"Námskeiðahald","85590"
"Námsmannaíbúðir","55900"
"Námsmannasamtök","94999"
"Námsráðgjöf","85600"
"Námustarfsemi, tengd þjónusta","09900"
"Náttföt, framleiðsla","14140"
"Náttkjólar, framleiðsla","14140"
"Náttúrgripasöfn","91020"
"Náttúrulyf, framleiðsla","21200"
"Náttúrulyf, heildsala","46389"
"Neftóbak, framleiðsla","12000"
"Net, heildsala","46691"
"Netakúlur úr plasti, framleiðsla","22221"
"Netaverkssmiðjur","13940"
"Netaverkstæði","33190"
"Neytendalán","64920"
"Neytendasamtök","94999"
"Niðurrif á ónýtum hlutum","38310"
"Niðurrif bygginga","43110"
"Niðurrif, bílar","38310"
"Niðursuða, fiskafurðir","10204"
"Niðursuðudósir, framleiðsla","25920"
"Nikkel, framleiðsla","24450"
"Nikkel, nám","07290"
"Nítröt, framleiðsla","20150"
"Notaðar bækur, smásala","47790"
"Notaðar vörur, smásala","47790"
"Notaðir munir, smásala","47790"
"Notkunarmælar, framleiðsla","26510"
"Nótur, heildsala","46490"
"Nótur, smásala","47593"
"Nuddstofur","96040"
"Núðlur, framleiðsla","10730"
"Núggat, framleiðsla","10820"
"Nytjajurtir, aðrar en fjölærar, ræktun","012"
"Nytjajurtir, fjölærar, ræktun","011"
"Nytjaleirmunir, framleiðsla","23410"
"Nytjalist, heildsala","46490"
"Nytjalist, smásala","47783"
"Nytjaplöntur, vinnsla","01630"
"Nýmjólk, framleiðsla","10510"
"Nærfataverslanir","47711"
"Nærfatnaður, framleiðsla","14140"
"Nærfatnaður, heildsala","46420"
"Nærfatnaður, smásala","47711"
"Næringarráðgjafar","86909"
"Næturklúbbar","56300"
"Oddveifur, framleiðsla","13920"
"Offsetprentun","18120"
"Offsettljósmyndun","18130"
"Ofin efni, heildsala","46410"
"Ofnar fyrir bakarí, framleiðsla","28930"
"Ofnar fyrir iðnaðarnota, framleiðsla","28210"
"Ofnar til húshitunar, lagning","43220"
"Ofnar til matargerðar, framleiðsla","27510"
"Ofnar, kola- og olíu, framleiðsla","27520"
"Ofnar, smásala","47540"
"Olía og feiti, framleiðsla","10410"
"Olía og feiti, heildsala","46330"
"Olía til manneldis, heildsala","46330"
"Olía, ekki til manneldis, heildsala","46210"
"Olíufræ, ræktun","01110"
"Olíukynding, uppsetning og viðgerð","43220"
"Olíukökur, framleiðsla","10410"
"Olíumengun, hreinsun","39000"
"Olíuofnar, framleiðsla","27520"
"Olíur, rokgjarnar, framleiðsla","20530"
"Olíur, tilbúnar, framleiðsla","20590"
"Olíuríkir ávextir, ræktun","01260"
"Olíuvörur, hreinsaðar, framleiðsla","19200"
"Opinber hagskýrslugerð","84110"
"Opinber stjórnsýsla, almenn","84110"
"Optísk tæki, framleiðsla","26700"
"Optísk tæki, smásala","47782"
"Optísk tæki, viðgerð","33130"
"Orgel, viðgerð","33190"
"Orgelstillingar","95290"
"Ostagerð","10510"
"Ostaverslanir","47290"
"Ostur, framleiðsla","10510"
"Ostur, heildsala","46330"
"Óáfengir drykkir, heildsala","46340"
"Óáfengir drykkir, smásala","47250"
"Óekta skartgripir, framleiðsla","32130"
"Ólífrænar sýrur, framleiðsla","20130"
"Ólífrænir basar, framleiðsla","20130"
"Ólífuolía, framleiðsla","10410"
"Ómtæki, framleiðsla","26600"
"Ónæmisvarnir","86210"
"Órjúfanlegir aflgjafar, framleiðsla","27900"
"Óþekkt starfsemi","99999"
"Pakkningar úr gúmmíi, framleiðsla","22190"
"Palmín, framleiðsla","10420"
"Pappabollar, framleiðsla","17220"
"Pappadiskar, framleiðsla","17220"
"Pappaframleiðsla","17120"
"Pappaglös, framleiðsla","17220"
"Pappakassar, heildsala","46760"
"Pappi, framleiðsla","17120"
"Pappi, gegndreyping","17120"
"Pappi, húðun","17120"
"Pappír til heimilisnota, heildsala","46490"
"Pappír til prentiðnaðar, heildsala","46760"
"Pappír, framleiðsla","17120"
"Pappír, gegndreyping","17120"
"Pappír, húðun","17120"
"Pappír, ljósnæmur, framleiðsla","20590"
"Pappír, umboðsverslun","46180"
"Pappírsbleiur, framleiðsla","17220"
"Pappírsdeig, framleiðsla","17110"
"Pappírsdúkar, framleiðsla","17220"
"Pappírsgarn, framleiðsla","13100"
"Pappírskvoða, endurvinnsla, framleiðsla","17110"
"Pappírskvoða, framleiðsla","17110"
"Pappírskvoða, heildsala","46760"
"Pappírsmunnþurrkur, framleiðsla","17220"
"Pappírsvörur, heildsala","46490"
"Pappírsvörur, smásala","47620"
"Paprika, ræktun","01131"
"Paraffín, framleiðsla","19200"
"Paraffín, heildsala","46750"
"Parket, framleiðsla","16220"
"Parketgólf, lagning","43330"
"Parketlistar, framleiðsla","16220"
"Partývörur, framleiðsla","32990"
"Partývörur, heildsala","46490"
"Partývörur, pappír, framleiðsla","17290"
"Partývörur, smásala","47789"
"Pastaréttir, tilbúnir, framleiðsla","10850"
"Pastavörur, framleiðsla","10730"
"Pastavörur, heildsala","46389"
"Peningakassar, framleiðsla","28230"
"Peningaskápar, framleiðsla","25990"
"Peningaskápar, smásala","47599"
"Penísillín, framleiðsla","21200"
"Pennar, framleiðsla","32990"
"Pennaveski, framleiðsla","15120"
"Pennaveski, heildsala","46490"
"Perlur, unnar, framleiðsla","32120"
"Perur, rafmagn, framleiðsla","27400"
"Perur, ræktun","01240"
"Perustæði, framleiðsla","27330"
"Peysur, framleiðsla","14390"
"Peysur, heildsala","46420"
"Peysur, smásala","47711"
"Pils, framleiðsla","14130"
"Pils, heildsala","46420"
"Pils, smásala","47711"
"Pitsur, framleiðsla","10890"
"Pitsur, frosnar, framleiðsla","10850"
"Pitsustaðir","56100"
"Píanó, framleiðsla","32200"
"Píanóstillingar","95290"
"Pípulagnaefni, heildsala","46740"
"Pípulagnir","43220"
"Píputóbak, framleiðsla","12000"
"Píputóbak, heildsala","46350"
"Píputóbak, smásala","47260"
"Plast, óunnið, framleiðsla","20160"
"Plastefni í frumgerðum, heildsala","46760"
"Plasteinangrun, framleiðsla","22230"
"Plastfatnaður, framleiðsla","22290"
"Plastfilma, framleiðsla","22210"
"Plastglös, framleiðsla","22290"
"Plasthanskar, framleiðsla","22290"
"Plasthimnur, framleiðsla","22210"
"Plasthráefni, framleiðsla","20160"
"Plastiðnaður","222"
"Plastílát, framleiðsla","22229"
"Plastkassar, framleiðsla","22229"
"Plastlím, framleiðsla","20520"
"Plastmöppur, framleiðsla","22290"
"Plastpokar, framleiðsla","22229"
"Plastskálar, framleiðsla","22290"
"Plastumbúðir, framleiðsla","22229"
"Platína, hrá, framleiðsla","24410"
"Platínum, framleiðsla","24410"
"Platínum, nám","07290"
"Plágueyðir, framleiðsla","20200"
"Plágueyðir, heildsala","46750"
"Plógar, framleiðsla","28300"
"Plógar, heildsala","46610"
"Plöntufjölgun","01300"
"Plöntur, heildsala","46220"
"Plönturæktun, þjónusta","01610"
"Plötubúðir","47630"
"Plötugerð, prentsmíð","18130"
"Plötur úr trefjasementi, framleiðsla","23650"
"Plötur, ál, framleiðsla","24420"
"Plötur, blý, framleiðsla","24540"
"Plötur, gúmmí, framleiðsla","22190"
"Plötur, kopar, framleiðsla","24540"
"Plötur, króm, framleiðsla","24540"
"Plötur, mangan, framleiðsla","24540"
"Plötur, nikkel, framleiðsla","24540"
"Plötur, sellulósasement, framleiðsla","23650"
"Plötur, sink, framleiðsla","24540"
"Plötur, tin, framleiðsla","24540"
"Plötur, valsað stál, framleiðsla","24100"
"Plötuspilarar, smásala","47430"
"Pokar, heildsala","46760"
"Pokar, pappír, framleiðsla","17210"
"Pokar, plast, framleiðsla","22229"
"Poppkorn, framleiðsla","10890"
"Portlandsement, framleiðsla","23510"
"Postulín og gler, heildsala","46441"
"Postulín og gler, smásala","47599"
"Postulínsmunir, framleiðsla","23410"
"Pottar úr leir eða postulíni, framleiðsla","23490"
"Pottar, framleiðsla","25990"
"Pólíúretan, framleiðsla","20160"
"Pólýester, framleiðsla","20160"
"Póstgíróþjónusta","64190"
"Póstkort, heildverslun","46490"
"Póstkort, útgáfa","58190"
"Póstlistar, útgáfa","58120"
"Póstverslun","47910"
"Póstþjónusta, almenn","53100"
"Prammar, framleiðsla","30110"
"Prentarar fyrir tölvur, framleiðsla","26200"
"Prentarar, framleiðsla","26200"
"Prentarar, heildsala","46510"
"Prentarar, smásala","47410"
"Prentarasnúrur, framleiðsla","26110"
"Prentblek, framleiðsla","20300"
"Prentblek, heildsala","46750"
"Prentlitir, framleiðsla","20590"
"Prentpappír, framleiðsla","17120"
"Prentrásaspjöld, auð, framleiðsla","26110"
"Prentrásaspjöld, fullbúin, framleiðsla","26120"
"Prentrásir, heildsala","46520"
"Prentsmiðja","181"
"Prentsmíð","18130"
"Prentun á fatnað o.þ.h.","18120"
"Prentun bóka","18120"
"Prentun dagblaða","18110"
"Prentun í fjölritunarvélum","18120"
"Prentun í ljósritunarvélum","18120"
"Prentun í tölvuprenturum","18120"
"Prentun tímarita","18120"
"Prentvélar, framleiðsla","28990"
"Pressunarvélar fyrir þvottahús, framleiðsla","28940"
"Prjónaefni, framleiðsla","13910"
"Prjónaefni, heildsala","46410"
"Prjónagarn, framleiðsla","13100"
"Prjónagarn, heildsala","46410"
"Prjónagarn, smásala","47510"
"Prjónavélar, framleiðsla","28940"
"Prjónavélar, heildsala","46640"
"Prjónavöruverslun","47510"
"Prjónvoð, framleiðsla","13910"
"Prófanir, tæknilegar","71200"
"Prófarkalestur","82190"
"Prófílar úr áli, framleiðsla","24420"
"Prófílar úr gúmmíi, framleiðsla","22190"
"Prófílar úr járni, kaldmótun","24330"
"Prófílar úr plasti, framleiðsla","22210"
"Prófílar úr stáli, framleiðsla","24200"
"Prófílar úr stáli, kaldmótun","24330"
"Prófunarbúnaður, framleiðsla","26510"
"Púðar, framleiðsla","13920"
"Púðar, heildsala","46410"
"Púðar, smásala","47530"
"Púður, sprengiefni, framleiðsla","20510"
"Púsluspil, framleiðsla","32400"
"Pússning innanhúss og utan","43310"
"Pylsur, framleiðsla","10130"
"Pylsur, heildsala","46320"
"Pylsuvagnar","56100"
"Pökkunarstarfsemi","82920"
"Pökkunarvélar, framleiðsla","28290"
"Rafalar fyrir ökutæki, framleiðsla","29310"
"Rafalar, framleiðsla","27110"
"Rafalasamstæður, framleiðsla","27120"
"Rafbúnaður, heildsala","46520"
"Rafbúnaður, viðgerð","33140"
"Rafeindabúnaður, viðgerð","33130"
"Rafeindahraðlar, framleiðsla","27900"
"Rafeindaíhlutir, framleiðsla","26110"
"Rafeindarör, framleiðsla","26110"
"Rafeindarör, heildsala","46520"
"Rafgeymar, framleiðsla","27200"
"Rafhlöður, framleiðsla","27200"
"Rafhlöður, heildsala","46430"
"Rafhreyflar, framleiðsla","27110"
"Rafhúðun málma","25610"
"Rafhúðunarvélar, framleiðsla","28490"
"Rafkatlar til heimilisnota, framleiðsla","27510"
"Rafkatlar til heimilisnota, heildsala","46430"
"Raflagnir","43210"
"Rafliðir, framleiðsla","27120"
"Rafliðir, viðgerð","33140"
"Raflínulagning","42220"
"Raflýsing fyrir vegakerfi o.þ.h., lagning og viðgerðir","43210"
"Raflýsing, framleiðsla","27400"
"Rafmagn, bygging þjónustumannvirkja","42220"
"Rafmagn, dreifing","35130"
"Rafmagn, flutningur","35120"
"Rafmagn, framleiðsla","35110"
"Rafmagn, viðskipti með","35140"
"Rafmagnsbjöllur, framleiðsla","27900"
"Rafmagnsinnstungur, framleiðsla","27330"
"Rafmagnskatlar til heimilisnota, framleiðsla","27510"
"Rafmagnskveikjur, framleiðsla","29310"
"Rafmagnsofnar til heimilisnota, framleiðsla","27510"
"Rafmagnsofnar, framleiðsla","27510"
"Rafmagnsofnar, heildsala","46430"
"Rafmagnsskilti, framleiðsla","27900"
"Rafmagnstenglar, framleiðsla","27330"
"Rafmagnsteppi, framleiðsla","27510"
"Rafmagnstæki til heimilisnota, framleiðsla","27510"
"Rafmagnsverkfræðingar","71121"
"Rafmerkjabúnaður, framleiðsla","27900"
"Rafræn spil, framleiðsla","32400"
"Rafræn spil, heildsala","46430"
"Rafræn spil, smásala","47410"
"Rafseglar, framleiðsla","27900"
"Rafskiptibúnaður, framleiðsla","27120"
"Rafsuða","25620"
"Rafsuðuspennar, framleiðsla","27110"
"Raftækjabúnaður til lækninga, framleiðsla","26600"
"Rafverktakar","43210"
"Rakagjafar, framleiðsla","25300"
"Rakagjafar, viðgerð","33110"
"Rakastýrar, framleiðsla","26510"
"Rakaþétting bygginga","43990"
"Rakhnífar, framleiðsla","25710"
"Rakspíri, framleiðsla","20420"
"Rakvélablöð, framleiðsla","25710"
"Rakvélablöð, heildsala","46450"
"Rakvélar, rafmagnsknúnar, framleiðsla","27510"
"Rammagerð","16290"
"Rammalistar úr viði, framleiðsla","16230"
"Rammalistar úr viði, heildsala","46730"
"Rannsóknarbókasöfn","91010"
"Rannsóknarstofur í læknisfræði","86903"
"Rannsóknartæki úr gleri, framleiðsla","23190"
"Rannsóknartæki úr leir eða postulíni, framleiðsla","23440"
"Rannsóknir í búvísindum","72190"
"Rannsóknir í félagsvísindum","72200"
"Rannsóknir í hugvísindum","72200"
"Rannsóknir í læknavísindum","72190"
"Rannsóknir í málvísindum","72200"
"Rannsóknir í raunvísindum og verkfræði","72190"
"Rannsóknir í uppeldis- og menntamála","72200"
"Ratsjá, framleiðsla","26510"
"Ratsjárstöðvar","61900"
"Rauðvín, framleiðsla","11020"
"Ráðgjafastarfsemi á sviði skógræktar","02400"
"Ráðgjafastarfsemi á sviði upplýsingatækni","62020"
"Ráðgjafastöðvar, börn og unglingar","88990"
"Ráðgjöf arkitekta","71110"
"Ráðgjöf efnaverkfræðinga","71121"
"Ráðningarstofur","78100"
"Ráðstefnur, skipulagning","82300"
"Refur, rætkun","01491"
"Regnföt, framleiðsla","14130"
"Regnföt, heildsala","46420"
"Regnföt, smásala","47711"
"Regnhlífar, framleiðsla","32990"
"Regnhlífar, heildsala","46420"
"Reiðhjól, framleiðsla","30920"
"Reiðhjól, heildsala","46490"
"Reiðhjól, smásala","47640"
"Reiðhjól, umboðsverslun","46150"
"Reiðhjól, viðgerðir","95290"
"Reiðhjólaleiga","77210"
"Reiðskólar","85510"
"Reiðtygi, framleiðsla","15120"
"Reiðtygi, heildsala","46490"
"Reiðtygi, smásala","47640"
"Reiknivélar, framleiðsla","28230"
"Reiknivélar, heildsala","46660"
"Rekaviður, vinnsla","16100"
"Rekstrareiga á vinnuvélum og tækjum til byggingaframkvæmda án stjórnenda","77320"
"Rekstrarlega á skipum og bátum","77340"
"Rekstrarleiga á loftförum","77350"
"Rekstrarleiga á tölvum og skrifstofubúnaði","77330"
"Rekstrarleiga á öðrum vélum og búnaði án stjórnanda","77390"
"Rekstrarleiga fólksbifreiða","77110"
"Rekstrarleiga landbúnaðarvéla","77310"
"Rekstrarleiga vörubifreiða","77120"
"Rekstrarráðgjöf","70220"
"Rekstur tölvukerfa","62030"
"Remúlaði, framleiðsla","10840"
"Rennilásar, framleiðsla","32990"
"Rennilásar, heildsala","46410"
"Rennilásar, smásala","47510"
"Rennismíði málma","25620"
"Repjufræ, ræktun","01110"
"Reykjarpípur, framleiðsla","32990"
"Réttingar málma","25620"
"Rifsber, ræktun","01250"
